idGrade,x,y
1149,-65.0,-6.0
1150,-64.5,-6.0
1151,-64.0,-6.0
1152,-63.5,-6.0
1153,-63.0,-6.0
1154,-62.5,-6.0
1155,-62.0,-6.0
1156,-61.5,-6.0
1157,-61.0,-6.0
1158,-60.5,-6.0
1159,-60.0,-6.0
1160,-59.5,-6.0
1161,-59.0,-6.0
1162,-58.5,-6.0
1163,-58.0,-6.0
1164,-57.5,-6.0
1165,-57.0,-6.0
1166,-56.5,-6.0
1167,-56.0,-6.0
1168,-55.5,-6.0
1169,-55.0,-6.0
1170,-54.5,-6.0
1171,-54.0,-6.0
1172,-53.5,-6.0
1173,-53.0,-6.0
1174,-52.5,-6.0
1175,-52.0,-6.0
1176,-51.5,-6.0
1177,-51.0,-6.0
1178,-50.5,-6.0
1179,-50.0,-6.0
